time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.64,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.892087,0.000000,0.000000,10.964516,0,0,1,0,0,0,0,0,0,0,0,65,0,0,0
0.65,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.885075,0.000000,0.000000,10.963400,0,0,1,0,0,0,0,0,0,0,0,66,0,0,0
0.66,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.877954,0.000000,0.000000,10.962267,0,0,1,0,0,0,0,0,0,0,0,67,0,0,0
0.67,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.870726,0.000000,0.000000,10.961116,0,0,1,0,0,0,0,0,0,0,0,68,0,0,0
0.68,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.863390,0.000000,0.000000,10.959949,0,0,1,0,0,0,0,0,0,0,0,69,0,0,0
0.69,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.855945,0.000000,0.000000,10.958764,0,0,1,0,0,0,0,0,0,0,0,70,0,0,0
0.70,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.848393,0.000000,0.000000,10.957562,0,0,1,0,0,0,0,0,0,0,0,71,0,0,0
0.71,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.840732,0.000000,0.000000,10.956343,0,0,1,0,0,0,0,0,0,0,0,72,0,0,0
0.72,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.832964,0.000000,0.000000,10.955106,0,0,1,0,0,0,0,0,0,0,0,73,0,0,0
0.73,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.825088,0.000000,0.000000,10.953853,0,0,1,0,0,0,0,0,0,0,0,74,0,0,0
0.74,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.817103,0.000000,0.000000,10.952582,0,0,1,0,0,0,0,0,0,0,0,75,0,0,0
0.75,-1187945.063000,-6195310.147000,940063.830900,-485.154808,-86.771648,618.072554,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,68.809011,0.000000,0.000000,10.951294,0,0,1,0,0,0,0,0,0,0,0,76,0,0,0
